,Review_Text,Rating,Persona,Age,Item_Name
0,I was so incredibly excited to get this jacket but ultimately returned it. The jacket had two problematic issues. The sleeves were awkward (one was longer than the other) and the bottom was very snug. I’m 5’6” athletic built and the jacket was very tight and was toot tight around my waist. I wouldn’t have been able to sit in it. I have been buying lulu lemon for years and this is the first time I have had an issue with my items.,2,SWEATY GENERALIST,25-34,Rain Rebel Jacket
1,"I love everything about this jacket, but it takes so much effort to zip it up, every time! It's the same story. Grab jacket, put on, try to do up zipper, gets stuck, try again, gets stuck, have to sit down and zip it up carefully, success on third or fourth try. For this price, zipper should be bomber.",1,RUNNER,45-54,Rain Rebel Jacket
2,"Love this jacket! Gorgeous orange color, light and comfortable. I've used it to-and-fro on misty days (not as functional heavy rain gear) and its been great for my use. Would recommend.",5,SWEATY GENERALIST,35-44,Rain Rebel Jacket
3,"I was looking for an in between season jacket for rainy days and this one is perfect. Love that I can wear it over a puffy down jacket as well.
I wanted a classy/sporty jacket and even according to my boyfriend, this black one does it all. I haven’t had any problems with the zipper so far (like I read in other commentary). I hope I won’t in the future!
If you want to wear it as a second coat, size up. I’m in between sizes and I don’t regret sizing up.",5,SWEATY GENERALIST,25-34,Rain Rebel Jacket
4,"5'3, 110lb and the size 4 fit perfectly, with a little room for a sweater or hoodie underneath. Purchased this jacket for rainy dog walks and commutes in Vancouver, when my hands are too full to carry an umbrella. I wanted a jacket that was truly waterproof, and the Rain Rebel delivered.",5,SWEATY GENERALIST,25-34,Rain Rebel Jacket
5,"I ordered my usual size 4, however I have an athletic build but a little booty/hips and when I zipped the jacket and I went to sit down it pulled pretty tight to my lower half that I’d end up unzipping it. I ordered the 6 and I think it will fit better...even though the top fit like a glove.",5,SWEATY GENERALIST,35-44,Rain Rebel Jacket
6,"Love this jacket. I usually wear a size 6 and the size 6 fits perfect. I also tried the size 4, which was more form fitting, but I wanted more space to wear layers. I only got to wea the jacket briefly in the rain and it did a great job of keeping me dry. I like the deep pockets and the clinching and the deep hood. I can see that the zipper could get stuck if you aren't careful when zipping. Can't wait to test it out on my trip to Seattle in October!",5,SWEATY GENERALIST,25-34,Rain Rebel Jacket
7,Super cute and stylish - great fit and perfect for rainy days.,5,SWEATY GENERALIST,45-54,Rain Rebel Jacket
8,"I am 5ft3 105lbs, I bought this in size 4 and the fit is perfect. It looks stylish and the fabric is very nice. This can definitely be worn all year round. The only problem that I have with this jacket is that the zipper broke before I even get to try it on! I was going to return but I needed a jacket for my trip. I would’ve given this a 5 if the zipper did not break right away.",3,,,Rain Rebel Jacket
9,"I love this coat the color is awesome especially on a dreary rainy day, the fabric and fit are great. I love my new coat and would recommend to anyone wanting a punch of color in their
wardrobe.",5,SWEATY GENERALIST,OVER 65,Rain Rebel Jacket
10,"I love the fit and design of this coat. Unfortunately, I wore it on a rainy day over a light coloured dress and the purple dye stained my dress.",3,SWEATY GENERALIST,18-24,Rain Rebel Jacket
11,"I had to return the item due to dark stains in the fabric. Otherwise it would have been great, unfortunately it sold out by the time I went to reorder. The design would be much better with the metal or reflective silver lulu sign on the tail vs the same color sign you could not even see the logo and for such and expensive raincoat I at least want to see the logo.",2,SWEATY GENERALIST,35-44,Rain Rebel Jacket
12,"I saw this jacket in the store and loved it on the hanger. They didn’t have my size in store so I ordered online. The quality and look of it are great, but it did not work on my body at all. The top was baggy, yet the bottom was too tight around my hips. This jacket is not made for curvy girls. A size up would have been way too big on top.",3,RUNNER,35-44,Rain Rebel Jacket
13,"Great fit, comfortable feel and lovely color.",4,SWEATY GENERALIST,OVER 65,Rain Rebel Jacket
