,Review_Text,Rating,Persona,Age,Location,Body_Type,Review_Date,Item_Name
0,I have it in every colors ! I juste LOVE it. Took 1 size down of my usual size.,5,SWEATY GENERALIST,18-24,MONTRÉAL,MUSCULAR,"SEPTEMBER 24, 2019",All Yours Boyfriend Tee
1,"Just like the other reviews say: it runs big!! I normally wear a size 8 when it comes to the tighter fit tops like the Swiftly Tech, but a size 6 in lose shirts like the Love Tees. With this shirt, I decided to size down to a 4 after reading the reviews and I am glad I did because it fits perfect, just how it looks on the models. I hope Lululemon comes out with more colors!!",5,SWEATY GENERALIST,18-24,"VANCOUVER, BC, CANADA",CURVY,"JUNE 14, 2019",All Yours Boyfriend Tee
2,"The reviews on this tee are actually really helpful! I would agree that you should size down, or two sizes down from your normal size - it will still be a nice over sized fit! I usually wear a 12-14 in Lululemon tops depending on the style, I bought a 10 in this and it's a great fit. Lots of chest room without a bagging stomach area for my busty friends out there. The fabric is also the perfect blend of cotton and spandex feel! I'll purchase every color.",5,SWEATY GENERALIST,25-34,CANADA,CURVY,"AUGUST 15, 2019",All Yours Boyfriend Tee
3,I purchased 3 of these tees and I love them very much! The fabric is light and airy and the fit is awesome. Highly recommend!!,5,SWEATY GENERALIST,25-34,"TORONTO, ON",ATHLETIC,"AUGUST 6, 2019",All Yours Boyfriend Tee
4,"the sleeves are longer, the body is boxier, its very on trend. the white is sheer but I don't mind.
I would say i wear a 12-14 in lulu tops, and i bought a 10 in this.",5,SWEATY GENERALIST,25-34,"CRANBROOK, BC",CURVY,"JUNE 18, 2019",All Yours Boyfriend Tee
5,"The light material is perfect for hot weather! I am 5'7 and normally wear a size 4 however, I liked the fit of the 2 better. Would love to see more colours!!",4,SWEATY GENERALIST,25-34,,ATHLETIC,"AUGUST 14, 2019",All Yours Boyfriend Tee
6,"I purchased 2 of these, was so tired of the swiftlies and wanted something not so fitted. These are huge and stretch out like no other I own. I too wish there were reviews before I purchased.",2,SWEATY GENERALIST,45-54,NEWFOUNDLAND,CURVY,"AUGUST 9, 2019",All Yours Boyfriend Tee
7,"I typically don't mind spending the money on Lululemon pants as they are usually high quality and stand up to workouts however this time I was quite disappointed. After the first wear my align pants started pilling in the crotch and all along my inner thighs. It has gotten worse every time I wear them and now I no longer want to wear them to classes as they look awful. I asked in store about this recently and was told by an employee that they aren't meant for wearing.
I am upset as I love the feel of these pants but not the quality and now have a $100 pair of pants that I am not wearing due to pilling despite only wearing them a handful of times.",2,SWEATY GENERALIST,25-34,"EDMONTON, AB",ATHLETIC,"JANUARY 5, 2019","Align Pant II 25"""
8,"I was so excited when purchasing my first pair of aligns as I heard it's a staple from Lululemon. Pro: The material is very soft and comfortable, which allows room for flexible exercises. Cons: I noticed slight piling when wearing my aligns to grocery shop. I did not think anything of it until a month later, the fabric in the inner thigh area is bumpy and has noticeably thinned out. I usually wear them for quick errands/yoga days. I throw them in the washer on delicates and hang dry them. So I'd like to say I have taken care of them accordingly. Overall, I'm very disappointed as I loved them at first. However, I wish the $100 quality of the material lasted as it quickly deteriorated. Perhaps it's more suitable for people who's legs don't rub together when walking.",2,YOGI,25-34,"TORONTO, CA",ATHLETIC,"SEPTEMBER 16, 2019","Align Pant II 25"""
9,These leggings are disappointing. I have bought from Lululemon the last 15 years. The quality of these is awful. Pilling after a couple wears on inner legs and the material wears out so quickly.,2,,25-34,,ATHLETIC,"AUGUST 30, 2019","Align Pant II 25"""
10,"I have worn these items twice and washed twice, there are two places where the seams are coming apart. They're so comfortable and I love them otherwise but super disappointed in the quality as they are not cheap and have always thought of lululemon as a quality manufacturer.",2,SWEATY GENERALIST,25-34,"TORONTO, ON",CURVY,"AUGUST 17, 2019","Align Pant II 25"""
11,"I don't mind spending the money on Lululemon pants as they are normally high quality and stand up to all my workouts, but not this time. I always loved the feel of the align pant, it's like a second skin. However, my align pants started pilling in the crotch and all along my inner thighs. Now I'm embarrassed to wear them. I take care of my clothes too, and it looks like I'm not the only one who's had the same issue. I'm upset because I really do love these pants and for the money I spent on them I was hoping these would last a lot longer than they did. Now I have a $98 pair of pants sitting in my closet that I'll never wear again.",2,SWEATY GENERALIST,25-34,ALBERTA,MUSCULAR,"AUGUST 10, 2019","Align Pant II 25"""
12,"I have been wearing Luxtreme Lulu tights for years - they are my favourite tight to work out in and the first thing I put on when I get home from work. I recently went to purchase a new pair when I was with a friend and she suggested I try the Align pant. Thought it would be good to try something different. I loved them for the first few wears however, they started pilling a couple weeks after I got them! They now look like an old pair of leggings and my Luxtreme tights still look brand new.
I don't wash them differently than any of my other Lulu gear so not sure why this is happening. I really wanted to like these but the fabric does not preform well.",2,RUNNER,25-34,"TORONTO, ON",ATHLETIC,"JULY 23, 2019","Align Pant II 25"""
13,Super comfy material. However I have started to notice lots of piling with these pants which is weird because I have just recently purchased other align pants and they have no piling and I have worn the other align pants more than these camo ones which were purchased a couple months ago.,2,SWEATY GENERALIST,25-34,BRITISH COLUMBIA,ATHLETIC,"JULY 19, 2019","Align Pant II 25"""
14,"The most recent pair that I bought was in ""True Navy."" I loved it until I washed it, and I noticed that the inside seams had start to pill and wear away. I put it in a mesh bag when I washed it in my washing machine. Then I wore it to the gym and during stretching, I noticed that part of the seams and the inside of the leg portion had pilled quite a bit. I really love my other Align's and have had them for a few years now, and only recently is my first pair pilling, however my newest pair already looks older than my first.",2,SWEATY GENERALIST,25-34,"EDMONTON, AB, CANADA",ATHLETIC,"JUNE 30, 2019","Align Pant II 25"""
15,"Ces leggings semblent attirer les particules de poussière, fibres de tissus, poil, etc. qui collent tous dessus. Les leggings paraissent donc CONSTAMMENT sale, même lorsqu'ils sortent de la laveuse! C'est décevant pour un produit qui est sensé être de qualité...",2,YOGI,25-34,GATINEAU,SOLID,"JUNE 20, 2019","Align Pant II 25"""
16,"So I bought the align pant a while back but returned because of the pilling issue. Decided to give it a go again hoping they would address the issue by now. Bought two pairs - black and grey. Gosh they fit and feel like a dream at first but after the second wash, no matter what you do (followed the directions) they begin to pill and fade. And they're not as soft anymore. Such a shame to spend $200+ for leggings that are only good after one wash :(",2,SWEATY GENERALIST,25-34,"VANCOUVER, BC",PETITE,"JUNE 19, 2019","Align Pant II 25"""
17,"I wanted to love these, the fabric is amazing, but they started piling after one wash and after about 5 washes the thread has started to come out and is fraying. I really wanted to love these but I'm super disappointed :(",2,SWEATY GENERALIST,25-34,"TORONTO, ON",SLIM,"JUNE 17, 2019","Align Pant II 25"""
18,"These pants were amazing, but after almost a year they're just not any good. The lady in the store told me not to work out in them, which is fine for what I wanted them for. I was very diligent with washing them, but they still pilled. I can handle pilling of pants in the thighs as for me that is common. What I am really disappointed is that they started pilling on the outer thigh region as well. Don't let the buttery smoothness fool you. Get a different sturdier pair.",2,SWEATY GENERALIST,25-34,"VANCOUVER, BC",CURVY,"MAY 28, 2019","Align Pant II 25"""
19,"I have about 14 pairs of the Align pants/crops. I have been loyally purchasing from Lululemon since I was 14 years old, I know how to take care of my gear. I have some that have lasted years, I have some that have lasted months. Majority of these pants pill SO BADLY in the thighs in crotch area. However, I love the feel of these pants so the potential pilling was worth the risk as Lululemon had a great return policy with their gear that fell extremely short of your expectations. I have 2 pairs that I got for Christmas (5 months old) that are pilling so badly. I tried to return them and was told that they ""don't fall under their quality promise"".... somehow the horrible pilling many people are experiencing is not due to the quality of the gear?? I would not recommend you spend your money on the Aligns, although they used to be my absolute favorite. There are much better quality leggings you can get for $100.00.",2,SWEATY GENERALIST,25-34,,ATHLETIC,"MAY 28, 2019","Align Pant II 25"""
20,"I just bought these leggings in the colour ""true navy."" They are completely see-through when you bend over. I don't understand how these leggings pass quality control, as this is not the first pair of Align leggings I have bought that have been see through. I keep hoping they will improve the quality of these pants as they are wonderful in theory but very poor in execution. The few pairs I have not returned have pilled within a few wears. Very disappointing for this price point!",2,YOGI,25-34,,PETITE,"MAY 25, 2019","Align Pant II 25"""
21,I've had these pants for less than a week... I haven't used them to work out yet and I haven't washed them and they are pilling on the front of my thighs as crazy. This isn't a spot that has a lot of friction either so I have no idea why. They are super comfortable but I am very dissapointed in the quality. I understand they are delicate but I have only used them for lounging around the house. All my other lululemon leggings that I've had for years haven't had any issues but I am very disappointed in these. Just cut the tag off yesterday..,2,SWEATY GENERALIST,25-34,"OTTAWA, ON",CURVY,"MAY 24, 2019","Align Pant II 25"""
