,Review_Text,Rating,Persona,Age,Location,Body_Type,Review_Date,Item_Name
0,I have it in every colors ! I juste LOVE it. Took 1 size down of my usual size.,5,SWEATY GENERALIST,18-24,MONTRÉAL,MUSCULAR,"SEPTEMBER 24, 2019",All Yours Boyfriend Tee
1,"Great fitting tee. Had to size down 2 sizes. Please make this in more colours - a royal blue, burgundy and grey would be great!",5,,,,,"SEPTEMBER 2, 2019",All Yours Boyfriend Tee
2,"The reviews on this tee are actually really helpful! I would agree that you should size down, or two sizes down from your normal size - it will still be a nice over sized fit! I usually wear a 12-14 in Lululemon tops depending on the style, I bought a 10 in this and it's a great fit. Lots of chest room without a bagging stomach area for my busty friends out there. The fabric is also the perfect blend of cotton and spandex feel! I'll purchase every color.",5,SWEATY GENERALIST,25-34,CANADA,CURVY,"AUGUST 15, 2019",All Yours Boyfriend Tee
3,"The light material is perfect for hot weather! I am 5'7 and normally wear a size 4 however, I liked the fit of the 2 better. Would love to see more colours!!",4,SWEATY GENERALIST,25-34,,ATHLETIC,"AUGUST 14, 2019",All Yours Boyfriend Tee
4,"I purchased 2 of these, was so tired of the swiftlies and wanted something not so fitted. These are huge and stretch out like no other I own. I too wish there were reviews before I purchased.",2,SWEATY GENERALIST,45-54,NEWFOUNDLAND,CURVY,"AUGUST 9, 2019",All Yours Boyfriend Tee
5,I purchased 3 of these tees and I love them very much! The fabric is light and airy and the fit is awesome. Highly recommend!!,5,SWEATY GENERALIST,25-34,"TORONTO, ON",ATHLETIC,"AUGUST 6, 2019",All Yours Boyfriend Tee
6,"the sleeves are longer, the body is boxier, its very on trend. the white is sheer but I don't mind.
I would say i wear a 12-14 in lulu tops, and i bought a 10 in this.",5,SWEATY GENERALIST,25-34,"CRANBROOK, BC",CURVY,"JUNE 18, 2019",All Yours Boyfriend Tee
7,"Just like the other reviews say: it runs big!! I normally wear a size 8 when it comes to the tighter fit tops like the Swiftly Tech, but a size 6 in lose shirts like the Love Tees. With this shirt, I decided to size down to a 4 after reading the reviews and I am glad I did because it fits perfect, just how it looks on the models. I hope Lululemon comes out with more colors!!",5,SWEATY GENERALIST,18-24,"VANCOUVER, BC, CANADA",CURVY,"JUNE 14, 2019",All Yours Boyfriend Tee
0,"I typically don't mind spending the money on Lululemon pants as they are usually high quality and stand up to workouts however this time I was quite disappointed. After the first wear my align pants started pilling in the crotch and all along my inner thighs. It has gotten worse every time I wear them and now I no longer want to wear them to classes as they look awful. I asked in store about this recently and was told by an employee that they aren't meant for wearing.
I am upset as I love the feel of these pants but not the quality and now have a $100 pair of pants that I am not wearing due to pilling despite only wearing them a handful of times.",2,SWEATY GENERALIST,25-34,"EDMONTON, AB",ATHLETIC,"JANUARY 5, 2019","Align Pant II 25"""
1,I was so excited about receiving these for my birthday a few months ago. This is my first pair of aligns and the comfort is definitely there but I gave it 2 stars since I have followed the washing directions like I have with my other lulu items since day one and I've sadly already noticed quite a bit of piling since getting them in June. The material is comfortable on but it seems to pile much more than other fabrics.,2,SWEATY GENERALIST,18-24,"KELOWNA, BC",PETITE,"SEPTEMBER 26, 2019","Align Pant II 25"""
